start_time,exit_status,mean_qscore_template,sequence_length_template,mean_qscore_complement,sequence_length_complement,mean_qscore_2d,sequence_length_2d,run_id
197.768,S_OK,,,,,12.250,2281,f9af78a208e192d69dba03a4542d58a9605309fc
253.222,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
266.229,S_OK,,,,,13.578,1455,dee06345d2f99f17ce01306bad92c65d38381a26
248.920,S_OK,,,,,12.656,750,f9af78a208e192d69dba03a4542d58a9605309fc
230.721,S_OK,,,,,10.848,714,f9af78a208e192d69dba03a4542d58a9605309fc
220.367,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
297.450,S_OK,,,,,12.999,2955,f9af78a208e192d69dba03a4542d58a9605309fc
29.449,S_OK,,,,,11.555,777,dee06345d2f99f17ce01306bad92c65d38381a26
272.616,S_OK,,,,,12.113,737,dee06345d2f99f17ce01306bad92c65d38381a26
132.491,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
293.084,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
375.477,S_OK,,,,,11.651,617,dee06345d2f99f17ce01306bad92c65d38381a26
93.084,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
196.408,S_OK,,,,,11.133,2745,f9af78a208e192d69dba03a4542d58a9605309fc
316.485,S_OK,,,,,9.731,895,dee06345d2f99f17ce01306bad92c65d38381a26
336.952,S_OK,,,,,11.001,676,dee06345d2f99f17ce01306bad92c65d38381a26
142.392,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
114.146,S_OK,,,,,9.162,710,f9af78a208e192d69dba03a4542d58a9605309fc
24.521,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
230.216,S_OK,,,,,12.749,767,dee06345d2f99f17ce01306bad92c65d38381a26
50.299,2D basecall failed quality filters,,,,,8.358,837,f9af78a208e192d69dba03a4542d58a9605309fc
113.406,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
170.887,S_OK,,,,,12.003,721,dee06345d2f99f17ce01306bad92c65d38381a26
140.093,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
50.310,2D basecall failed quality filters,,,,,8.106,1229,f9af78a208e192d69dba03a4542d58a9605309fc
229.320,S_OK,,,,,12.378,3479,f9af78a208e192d69dba03a4542d58a9605309fc
213.252,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
218.305,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
120.036,S_OK,,,,,9.563,2111,dee06345d2f99f17ce01306bad92c65d38381a26
83.878,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
261.394,2D basecall failed quality filters,,,,,8.970,1218,dee06345d2f99f17ce01306bad92c65d38381a26
238.715,S_OK,,,,,13.096,1427,dee06345d2f99f17ce01306bad92c65d38381a26
276.963,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
156.733,S_OK,,,,,10.123,945,f9af78a208e192d69dba03a4542d58a9605309fc
279.568,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
361.674,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
175.747,S_OK,,,,,13.156,757,f9af78a208e192d69dba03a4542d58a9605309fc
314.757,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
91.170,S_OK,,,,,12.119,766,f9af78a208e192d69dba03a4542d58a9605309fc
152.924,S_OK,,,,,9.939,1546,f9af78a208e192d69dba03a4542d58a9605309fc
80.285,S_OK,,,,,12.408,736,dee06345d2f99f17ce01306bad92c65d38381a26
85.930,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
200.856,S_OK,,,,,13.290,2575,f9af78a208e192d69dba03a4542d58a9605309fc
153.522,S_OK,,,,,10.444,684,f9af78a208e192d69dba03a4542d58a9605309fc
344.824,S_OK,,,,,11.847,3723,dee06345d2f99f17ce01306bad92c65d38381a26
50.240,2D basecall failed quality filters,,,,,6.599,763,f9af78a208e192d69dba03a4542d58a9605309fc
347.995,S_OK,,,,,11.750,2523,dee06345d2f99f17ce01306bad92c65d38381a26
84.137,2D basecall failed quality filters,,,,,7.879,873,f9af78a208e192d69dba03a4542d58a9605309fc
42.783,2D basecall failed quality filters,,,,,7.116,434,f9af78a208e192d69dba03a4542d58a9605309fc
269.249,S_OK,,,,,13.109,1432,dee06345d2f99f17ce01306bad92c65d38381a26
159.587,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
225.401,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
185.116,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
57.601,S_OK,,,,,10.653,947,f9af78a208e192d69dba03a4542d58a9605309fc
314.330,S_OK,,,,,9.977,774,f9af78a208e192d69dba03a4542d58a9605309fc
252.487,S_OK,,,,,12.991,2647,f9af78a208e192d69dba03a4542d58a9605309fc
293.873,S_OK,,,,,12.948,2050,f9af78a208e192d69dba03a4542d58a9605309fc
170.390,S_OK,,,,,14.478,2706,dee06345d2f99f17ce01306bad92c65d38381a26
350.935,S_OK,,,,,9.379,1435,dee06345d2f99f17ce01306bad92c65d38381a26
110.320,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
332.791,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
93.479,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
171.167,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
185.703,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
224.114,2D basecall failed quality filters,,,,,7.600,1103,f9af78a208e192d69dba03a4542d58a9605309fc
321.015,S_OK,,,,,13.128,780,f9af78a208e192d69dba03a4542d58a9605309fc
125.695,2D basecall failed quality filters,,,,,8.968,2052,f9af78a208e192d69dba03a4542d58a9605309fc
236.674,2D basecall failed quality filters,,,,,8.928,1826,f9af78a208e192d69dba03a4542d58a9605309fc
92.387,S_OK,,,,,11.483,550,f9af78a208e192d69dba03a4542d58a9605309fc
235.431,S_OK,,,,,12.249,1915,dee06345d2f99f17ce01306bad92c65d38381a26
