Size (bp),some sample
41030.63,407.93
41256.97,406.32
41483.32,404.24
41709.66,401.85
41936.01,399.80
42162.35,399.01
42388.70,399.44
42615.04,399.62
42841.39,398.40
43067.73,396.90
43294.07,396.92
43520.42,397.78
43746.76,397.20
43973.11,395.92
44199.45,394.64
44425.80,391.38
44652.14,388.56
44878.49,386.68
45104.83,385.72
45331.18,385.21
45557.52,384.42
45783.86,382.60
46010.21,379.61
46236.55,376.30
46462.90,373.35
46689.24,370.25
46915.59,366.43
47141.93,362.06
47368.28,357.51
47594.62,353.25
47820.96,349.47
48047.31,345.47
48273.66,340.39
48500.00,334.15
48501.00,327.77
48943.98,323.23
49386.96,321.19
49829.94,319.98
50272.92,318.16
50715.90,315.71
51158.88,312.78
51601.86,309.88
52044.84,308.20
52487.82,307.82
52930.80,307.09
53373.77,304.56
53816.75,300.63
54259.73,297.24
54702.71,295.68
55145.69,295.25
55588.67,295.19
56031.65,295.86
56474.63,296.38
56917.61,295.40
57360.59,294.10
57803.57,294.31
58246.55,295.39
58689.53,295.48
59132.51,293.80
59575.49,290.84
60018.47,287.28
60461.45,283.71
60904.43,281.04
61347.41,279.50
61790.39,277.72
62233.37,274.80
62676.34,271.32
63119.32,267.64
63562.30,264.13
64005.29,261.77
64448.26,260.55
64891.24,259.41
65334.22,258.04
65777.20,257.15
66220.18,256.65
66663.16,255.42
67106.14,253.35
67549.12,251.70
67992.10,250.80
68435.08,249.09
68878.05,245.89
69321.04,242.94
69764.02,241.39
70207.00,239.79
70649.98,236.47
71092.95,231.49
71535.94,225.75
71978.91,220.32
72421.90,216.71
72864.87,215.47
73307.85,214.71
73750.84,212.25
74193.81,208.46
74636.79,205.09
75079.77,202.46
75522.75,199.79
75965.73,196.83
76408.71,193.76
76851.69,190.83
77294.67,188.03
77737.65,184.80
78180.62,181.01
78623.61,177.53
79066.59,174.94
79509.57,173.00
79952.55,171.61
80395.52,170.76
80838.51,170.10
81281.48,169.35
81724.47,168.06
82167.45,165.79
82610.42,163.11
83053.41,160.76
83496.38,158.25
83939.36,155.32
84382.34,153.31
84825.32,152.91
85268.30,152.72
85711.28,151.66
86154.26,150.32
86597.24,149.19
87040.22,147.70
87483.20,145.06
87926.18,141.34
88369.16,137.72
88812.14,135.30
89255.12,133.86
89698.09,132.68
90141.08,131.56
90584.05,130.66
91027.03,130.20
91470.02,130.11
91912.99,129.93
92355.98,129.05
92798.95,127.15
93241.93,124.36
93684.91,121.12
94127.89,118.61
94570.87,118.00
95013.85,118.18
95456.83,116.71
95899.81,113.53
96342.79,110.85
96785.77,109.62
97228.75,108.75
97671.73,107.32
98114.71,105.84
98557.69,105.27
99000.66,105.36
99443.65,104.99
99886.62,103.86
100329.60,102.13
100772.59,99.81
101215.56,97.66
101658.55,96.66
102101.52,96.53
102544.50,96.49
102987.48,96.30
103430.46,95.66
103873.45,94.42
104316.42,92.89
104759.40,91.60
105202.38,91.25
105645.36,91.84
106088.34,91.86
106531.32,90.43
106974.30,88.73
107417.28,88.05
107860.26,87.84
108303.23,86.49
108746.22,83.89
109189.20,81.74
109632.17,80.51
110075.16,78.97
110518.13,77.07
110961.12,76.13
111404.09,76.46
111847.07,77.05
112290.05,76.88
112733.03,75.87
113176.01,74.72
113618.99,73.90
114061.97,73.02
114504.95,71.93
114947.93,71.21
115390.91,70.82
115833.89,70.19
116276.87,69.29
116719.85,68.51
117162.83,67.80
117605.80,66.87
118048.79,66.19
118491.77,66.42
118934.74,66.93
119377.73,66.54
119820.70,65.31
120263.69,64.37
120706.66,64.33
121149.64,64.59
121592.62,64.45
122035.60,64.10
122478.58,63.79
122921.56,63.40
123364.54,62.62
123807.52,61.22
124250.50,59.59
124693.48,58.67
125136.46,58.48
125579.44,57.87
126022.42,56.37
126465.40,54.56
126908.37,53.04
127351.36,52.01
127794.34,51.63
128237.31,51.70
128680.30,51.89
129123.27,52.21
129566.26,52.63
130009.23,52.85
130452.21,52.72
130895.20,52.13
131338.17,50.92
131781.16,49.35
132224.12,48.57
132667.11,49.44
133110.09,50.95
133553.06,51.42
133996.05,50.68
134439.03,49.52
134882.02,48.24
135324.98,47.08
135767.97,46.55
136210.95,46.50
136653.92,45.80
137096.91,43.95
137539.89,41.89
137982.86,40.78
138425.84,40.86
138868.83,41.76
139311.80,42.67
139754.78,43.15
140197.77,43.44
140640.75,43.54
141083.72,42.97
141526.70,41.61
141969.69,40.26
142412.66,39.85
142855.64,40.21
143298.62,40.46
143741.59,40.09
144184.58,39.17
144627.56,38.10
145070.53,37.37
145513.52,37.33
145956.50,37.75
146399.48,38.17
146842.45,39.50
147285.44,40.40
147728.42,40.46
148171.39,39.89
148614.37,38.74
149057.36,37.13
149500.33,35.77
149943.31,35.41
150386.30,36.17
150829.27,37.40
151272.25,38.42
151715.23,38.97
152158.20,38.86
152601.19,37.88
153044.17,36.54
153487.16,35.50
153930.12,34.77
154373.11,34.55
154816.09,34.65
155259.06,33.94
155702.05,32.69
156145.03,32.47
156588.00,33.08
157030.98,33.71
157473.97,34.66
157916.94,35.34
158359.92,34.25
158802.91,31.85
159245.89,29.83
159688.86,28.43
160131.84,27.42
160574.83,27.30
161017.80,27.76
161460.78,27.99
161903.77,28.40
162346.73,29.27
162789.72,29.53
163232.70,28.80
163675.67,28.30
164118.66,28.81
164561.64,29.44
165004.61,29.42
165447.59,29.30
165890.58,29.62
166333.56,30.02
166776.53,29.89
167219.52,28.86
167662.50,27.40
168105.47,26.24
168548.45,25.26
168991.44,24.39
169434.41,24.02
169877.39,23.75
170320.37,22.66
170763.34,21.01
171206.33,20.21
171649.31,20.89
172092.30,22.16
172535.27,22.99
172978.25,22.97
173421.23,22.16
173864.20,21.25
174307.19,20.74
174750.17,20.45
175193.14,20.43
175636.12,21.25
176079.11,22.77
176522.08,23.95
176965.06,24.45
177408.05,25.04
177851.02,26.17
178294.00,27.90
178736.98,30.37
179179.97,33.27
179622.94,35.97
180065.92,38.68
180508.91,42.07
180951.87,46.30
181394.86,51.14
181837.84,56.45
182280.81,62.24
182723.80,68.59
183166.78,76.12
183609.75,85.76
184052.73,97.60
184495.72,110.68
184938.70,124.33
185381.67,138.67
185824.66,154.50
186267.64,172.71
186710.61,193.24
187153.59,215.23
187596.58,238.44
188039.55,263.73
188482.53,291.94
188925.52,322.93
189368.48,355.78
189811.47,389.63
190254.45,424.78
190697.44,462.25
191140.41,501.65
191583.39,541.16
192026.37,580.20
192469.34,619.87
192912.33,660.69
193355.31,701.67
193798.28,741.72
194241.27,780.53
194684.25,818.18
195127.22,855.03
195570.20,891.25
196013.19,925.84
196456.16,956.70
196899.14,982.34
197342.12,1003.23
197785.11,1021.18
198228.08,1037.03
198671.06,1050.43
199114.05,1060.50
199557.02,1065.57
200000.00,1064.71
200441.69,1059.44
200887.16,1051.06
201332.62,1038.70
201778.09,1021.98
202223.56,1002.03
202669.02,979.35
203114.48,953.83
203559.95,926.29
204005.42,897.07
204450.89,865.02
204896.36,829.93
205341.81,793.60
205787.28,757.23
206232.75,720.58
206678.22,683.51
207123.69,646.31
207569.16,609.01
208014.61,571.59
208460.08,534.41
208905.55,497.64
209351.02,461.16
209796.48,425.45
210241.94,391.67
210687.41,360.66
211132.87,332.27
211578.34,305.68
212023.81,280.15
212469.28,255.30
212914.73,231.45
213360.20,209.75
213805.67,190.51
214251.14,172.49
214696.61,155.31
215142.08,139.97
215587.53,126.76
216033.00,115.06
216478.47,104.13
216923.94,93.11
217369.41,82.16
217814.87,72.93
218260.33,66.43
218705.80,61.62
219151.27,56.64
219596.73,50.79
220042.20,45.11
220487.67,40.70
220933.12,37.42
221378.59,34.58
221824.06,31.65
222269.53,28.61
222715.00,26.12
223160.47,24.86
223605.92,24.71
224051.39,24.83
224496.86,24.43
224942.33,23.63
225387.80,23.21
225833.27,23.11
226278.72,22.15
226724.19,19.94
227169.66,17.80
227615.12,17.47
228060.59,18.82
228506.06,19.84
228951.52,19.22
229396.98,17.54
229842.45,15.94
230287.92,14.98
230733.39,14.53
231178.86,14.18
231624.31,13.59
232069.78,12.79
232515.25,12.04
232960.72,11.53
233406.19,11.35
233851.64,11.66
234297.11,12.46
234742.58,13.36
235188.05,13.48
235633.52,12.42
236078.98,11.24
236524.44,11.03
236969.91,11.10
237415.37,10.11
237860.84,7.86
238306.31,5.24
238751.78,3.74
239197.23,4.35
239642.70,6.22
240088.17,7.65
240533.64,7.94
240979.11,7.21
241424.58,5.92
241870.03,4.82
242315.50,4.54
242760.97,4.88
243206.44,4.87
243651.91,4.38
244097.37,4.56
244542.83,5.92
244988.30,7.32
245433.77,7.62
245879.23,6.97
246324.70,5.93
246770.17,5.00
247215.62,4.81
247661.09,5.27
248106.56,5.37
248552.03,4.86
248997.50,4.54
249442.97,4.28
249888.42,3.27
250333.89,1.94
250779.36,1.36
251224.83,1.70
251670.30,2.10
252115.77,2.01
252561.22,1.89
