Size (bp),some sample
387.42,-8.10
388.56,-8.18
389.71,-7.75
390.85,-7.12
391.99,-7.01
393.14,-7.15
394.28,-6.41
395.43,-5.03
396.57,-4.65
397.71,-5.69
398.86,-6.93
400.00,-7.52
401.00,-7.70
402.17,-7.74
403.34,-7.45
404.51,-6.74
405.68,-5.75
406.85,-5.04
408.02,-5.45
409.19,-6.85
410.36,-8.16
411.54,-8.76
412.71,-8.58
413.88,-7.70
415.05,-6.66
416.22,-6.29
417.39,-6.83
418.56,-7.42
419.73,-7.13
420.90,-6.42
422.07,-6.35
423.24,-7.02
424.41,-8.03
425.58,-9.14
426.75,-9.59
427.92,-8.88
429.09,-7.92
430.26,-7.22
431.44,-6.45
432.61,-6.24
433.78,-7.20
434.95,-8.20
436.12,-8.02
437.29,-7.06
438.46,-6.38
439.63,-6.56
440.80,-7.40
441.97,-8.00
443.14,-7.77
444.31,-7.25
445.48,-7.02
446.65,-6.83
447.82,-6.51
448.99,-6.47
450.16,-6.96
451.34,-7.91
452.51,-8.79
453.68,-8.85
454.85,-8.39
456.02,-8.62
457.19,-9.55
458.36,-10.10
459.53,-10.00
460.70,-9.70
461.87,-9.13
463.04,-8.09
464.21,-7.30
465.38,-7.50
466.55,-8.05
467.72,-8.31
468.89,-8.88
470.06,-9.81
471.24,-10.10
472.41,-9.92
473.58,-10.10
474.75,-10.35
475.92,-10.29
477.09,-10.05
478.26,-9.31
479.43,-8.30
480.60,-8.26
481.77,-9.37
482.94,-10.31
484.11,-10.32
485.28,-9.63
486.45,-8.48
487.62,-7.10
488.79,-6.39
489.96,-7.52
491.14,-10.18
492.31,-12.19
493.48,-11.89
494.65,-10.10
495.82,-8.77
496.99,-8.68
498.16,-9.36
499.33,-10.07
500.50,-10.46
501.67,-10.57
502.84,-10.49
504.01,-10.12
505.18,-9.58
506.35,-9.08
507.52,-8.68
508.69,-8.39
509.86,-8.09
511.04,-7.64
512.21,-7.25
513.38,-7.32
514.55,-7.95
515.72,-8.58
516.89,-8.51
518.06,-7.82
519.23,-7.33
520.40,-7.30
521.57,-7.19
522.74,-6.99
523.91,-7.30
525.08,-7.76
526.25,-7.82
527.42,-8.50
528.59,-10.80
529.76,-13.28
530.94,-13.99
532.11,-12.92
533.28,-10.90
534.45,-8.91
535.62,-8.23
536.79,-9.02
537.96,-10.07
539.13,-10.41
540.30,-9.78
541.47,-8.60
542.64,-7.92
543.81,-8.32
544.98,-8.95
546.15,-8.68
547.32,-7.94
548.49,-7.99
549.66,-8.66
550.84,-8.89
552.01,-8.68
553.18,-8.53
554.35,-8.46
555.52,-8.36
556.69,-8.35
557.86,-8.52
559.03,-8.46
560.20,-8.25
561.37,-8.98
562.54,-10.50
563.71,-11.12
564.88,-10.79
566.05,-10.92
567.22,-11.44
568.39,-11.26
569.56,-10.34
570.74,-9.66
571.91,-9.99
573.08,-10.89
574.25,-11.42
575.42,-11.50
576.59,-11.51
577.76,-11.30
578.93,-10.67
580.10,-9.98
581.27,-9.97
582.44,-10.77
583.61,-11.09
584.78,-9.84
585.95,-8.08
587.12,-7.48
588.29,-8.19
589.46,-9.70
590.64,-11.46
591.81,-12.56
592.98,-12.60
594.15,-12.05
595.32,-11.26
596.49,-10.38
597.66,-9.81
598.83,-9.88
600.00,-10.53
601.00,-11.41
602.41,-11.72
603.82,-10.69
605.23,-9.12
606.65,-8.73
608.06,-9.78
609.47,-10.81
610.88,-10.19
612.29,-7.93
613.70,-6.07
615.11,-6.31
616.52,-7.89
617.94,-9.08
619.35,-9.46
620.76,-9.64
622.17,-9.74
623.58,-9.52
624.99,-8.98
626.40,-8.27
627.82,-7.67
629.23,-7.60
630.64,-8.07
632.05,-8.68
633.46,-9.17
634.87,-9.85
636.28,-10.75
637.70,-10.82
639.11,-9.48
640.52,-8.09
641.93,-7.95
643.34,-8.60
644.75,-9.07
646.16,-9.18
647.57,-9.10
648.99,-8.89
650.40,-8.68
651.81,-8.44
653.22,-8.10
654.63,-7.86
656.04,-7.93
657.45,-8.28
658.87,-8.57
660.28,-8.41
661.69,-7.76
663.10,-6.79
664.51,-5.59
665.92,-4.69
667.33,-4.70
668.74,-5.02
670.16,-4.64
671.57,-4.04
672.98,-3.80
674.39,-2.92
675.80,-1.30
677.21,-0.82
678.62,-1.47
680.04,-2.11
681.45,-3.70
682.86,-4.52
684.27,-4.53
685.68,-3.77
687.09,-2.39
688.50,-0.82
689.91,0.14
691.33,-0.23
692.74,-1.44
694.15,-2.06
695.56,-1.35
696.97,0.05
698.38,1.02
699.79,1.48
701.21,2.48
702.62,4.28
704.03,5.74
705.44,6.22
706.85,6.11
708.26,5.64
709.67,5.07
711.09,4.79
712.50,4.70
713.91,5.12
715.32,6.23
716.73,6.94
718.14,6.90
719.55,7.26
720.96,8.06
722.38,8.50
723.79,8.95
725.20,10.00
726.61,10.84
728.02,10.14
729.43,8.20
730.84,6.87
732.26,7.27
733.67,8.15
735.08,7.76
736.49,6.14
737.90,4.50
739.31,3.81
740.72,4.42
742.13,5.48
743.55,5.45
744.96,4.09
746.37,2.53
747.78,1.98
749.19,2.44
750.60,2.99
752.01,3.11
753.43,2.74
754.84,1.75
756.25,0.71
757.66,0.77
759.07,1.66
760.48,2.12
761.89,2.37
763.30,3.12
764.72,3.56
766.13,2.85
767.54,1.31
768.95,-0.47
770.36,-1.77
771.77,-1.90
773.18,-1.30
774.60,-1.06
776.01,-1.30
777.42,-1.27
778.83,-0.84
780.24,-0.92
781.65,-1.89
783.06,-3.02
784.48,-3.76
785.89,-4.10
787.30,-4.14
788.71,-4.04
790.12,-3.91
791.53,-3.49
792.94,-2.70
794.35,-2.26
795.77,-2.46
797.18,-2.29
798.59,-1.29
800.00,-0.53
801.00,-0.83
802.84,-1.42
804.69,-1.55
806.53,-1.67
808.37,-1.81
810.21,-1.35
812.06,-0.73
813.90,-0.75
815.74,-0.87
817.58,-0.24
819.43,0.77
821.27,1.37
823.11,1.39
824.95,0.95
826.80,0.30
828.64,0.05
830.48,0.40
832.32,0.54
834.17,-0.39
836.01,-2.34
837.85,-4.40
839.69,-5.23
841.54,-4.58
843.38,-3.89
845.22,-4.05
847.06,-4.33
848.91,-4.09
850.75,-3.69
852.59,-3.57
854.44,-3.43
856.28,-2.67
858.12,-1.83
859.96,-2.08
861.81,-3.13
863.65,-3.20
865.49,-1.34
867.33,0.95
869.18,1.68
871.02,1.12
872.86,0.72
874.70,0.57
876.55,-0.11
878.39,-1.22
880.23,-1.92
882.07,-1.65
883.92,-0.55
885.76,0.68
887.60,1.22
889.44,0.77
891.29,-0.11
893.13,-0.51
894.97,-0.41
896.81,-0.50
898.66,-0.54
900.50,-0.08
902.34,0.21
904.19,-0.27
906.03,-1.23
907.87,-2.30
909.71,-3.07
911.56,-2.97
913.40,-2.17
915.24,-1.96
917.08,-3.00
918.93,-4.11
920.77,-4.12
922.61,-3.34
924.45,-2.45
926.30,-1.40
928.14,0.17
929.98,1.83
931.82,2.53
933.67,1.71
935.51,-0.15
937.35,-2.01
939.19,-2.83
941.04,-2.03
942.88,-0.34
944.72,0.66
946.56,0.29
948.41,-0.70
950.25,-1.39
952.09,-1.32
953.94,-0.51
955.78,0.46
957.62,0.66
959.46,-0.19
961.31,-1.05
963.15,-1.04
964.99,-0.84
